;Disposa.de.connexió.a.Internet.a.la.llar.;Connexió.ràpida;Tenen.tarifa.plana.;Missatges.mobil;Quants.televisors.tenen.;TV.de.pagament.;Amb.quina.freqüència.usa.ordinador.;Utilitza.programes.ofimàtics;Informàtica.avançada;Aplicacions.específiques;Per.oci;Amb.quina.freqüència.usa.inet.;Català;Castellà;Anglès;Edat;Sexe;Nivell.d.estudis;Activitat.professional;Nivell.ingressos.mensuals;Estudia.per.Internet.;Fa.servir.correu.electrònic.;Fa.servir.xat.;Fa.teletreball.;Ha.comprat.aliments.;Ha.comprat.per.Internet.;Internet.per.a.l.oci.;Pagament.a.través.d.Internet.;Tràmits.amb.els.serveis.sanitaris.;Tràmits.per.Internet.amb.l.Admó.;Utilitza.serveis.banca.electrònica.;Visita.webs.de.l.Admó.;Visita.webs.sanitaris.
5052;TRUE;TRUE;TRUE;Entre 5 i 10;2TVs;TRUE;Diàriament;TRUE;FALSE;FALSE;TRUE;Setmanalment;TRUE;FALSE;FALSE;Edat(14,25];Dona;Primaris;Estudiants;NS/NC;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
5067;FALSE;FALSE;FALSE;Entre 5 i 10;1TV;FALSE;Setmanalment;TRUE;FALSE;FALSE;FALSE;Setmanalment;FALSE;TRUE;FALSE;Edat(35,45];Dona;Superiors;Assalariats;125.000 - 210.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
5073;TRUE;FALSE;TRUE;Menys de 5;2TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;TRUE;Setmanalment;FALSE;TRUE;TRUE;Edat(14,25];Dona;Primaris;Estudiants;NS/NC;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
5085;TRUE;TRUE;TRUE;Cap (o menys d'1 per;1TV;FALSE;Diàriament;TRUE;FALSE;FALSE;FALSE;Diàriament;FALSE;TRUE;FALSE;Edat(35,45];Home;Secundaris;Assalariats;420.000 - 675.000;TRUE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;TRUE;FALSE
509;FALSE;FALSE;FALSE;Menys de 5;2TVs;FALSE;Setmanalment;TRUE;FALSE;FALSE;TRUE;Setmanalment;TRUE;TRUE;FALSE;Edat(14,25];Dona;Superiors;Estudiants;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
5099;TRUE;FALSE;TRUE;Menys de 5;1TV;FALSE;Diàriament;TRUE;TRUE;TRUE;FALSE;Diàriament;FALSE;TRUE;FALSE;Edat(35,45];Home;Secundaris;Assalariats;125.000 - 210.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE
5100;TRUE;TRUE;TRUE;Entre 5 i 10;3TVs;FALSE;Diàriament;TRUE;FALSE;FALSE;TRUE;Diàriament;TRUE;TRUE;FALSE;Edat(14,25];Dona;Superiors;Estudiants;125.000 - 210.000;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
5105;TRUE;FALSE;TRUE;Cap (o menys d'1 per;3TVs;FALSE;Diàriament;TRUE;FALSE;TRUE;FALSE;Diàriament;FALSE;TRUE;FALSE;Edat(35,45];Dona;Primaris;Assalariats;210.000 - 420.000;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;FALSE
512;TRUE;FALSE;FALSE;NO;1TV;FALSE;Diàriament;TRUE;FALSE;TRUE;FALSE;Amb menys freq.;TRUE;FALSE;FALSE;Edat(45,55];Dona;Superiors;Assalariats;NS/NC;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
5122;TRUE;FALSE;FALSE;Cap (o menys d'1 per;1TV;FALSE;Amb menys freqüència;TRUE;FALSE;FALSE;TRUE;Amb menys freq.;FALSE;TRUE;FALSE;Edat(35,45];Dona;Superiors;Aturats;Menys de 125.000;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE
